time	kasir	konsumen	id_item	harga	diskon  	kuantiti
2022-09-28 08:05:21	101	100	8888166991224	5000	0	2
2022-09-28 08:05:22	101	100	8994564634566	12500	0	1
2022-09-28 08:05:22	101	100	8887456757456	23000	1200	5
2022-09-28 08:09:53	101	102	8888978789784	3500	0	5
2022-09-28 08:09:56	101	102	8888373567566	15200	1520	10
2022-09-28 08:10:46	102	103	8898345792345	24999	0	1
2022-09-28 08:10:47	102	103	8878245985244	8990	0	8
2022-09-28 08:15:22	101	104	8994564634566	12500	0	1
2022-09-28 08:15:22	101	104	8888166991224	5000	0	1
2022-09-28 08:15:22	102	105	8887456757456	23000	0	2
2022-09-28 08:19:53	102	105	8888978789784	3500	0	10
2022-09-28 08:19:56	102	105	8888373567566	15200	0	2
2022-09-28 08:20:42	102	106	8878245985244	8990	0	10
2022-09-28 08:20:46	102	106	8898345792345	24999	0	2
2022-09-28 08:20:49	102	106	8888563498569	13499	0	5
2022-09-28 08:20:54	102	106	8889925495845	3800	0	1
2022-09-28 08:20:49	101	107	8888563498569	13499	0	2
2022-09-28 08:20:54	101	107	8889925495845	3800	0	3
2022-09-28 08:25:16	102	108	8887456757456	23000	2400	10
2022-09-28 08:25:21	102	108	8888166991224	5000	0	4
2022-09-28 08:25:22	102	108	8994564634566	12500	0	2
2022-09-28 08:29:53	101	109	8888978789784	3500	0	10
2022-09-28 08:30:47	102	110	8878245985244	8990	0	5
2022-09-28 08:30:49	102	110	8888563498569	13499	0	1
2022-09-28 08:29:56	102	110	8888373567566	15200	3040	20
2022-09-28 08:30:54	102	110	8889925495845	3800	0	6
